,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
10462,AHJ,medium_airport,Hongyuan Airport,11600.0,AS,CN,CN-51,Aba,ZUHY,AHJ,,"32.53154, 102.35224"
10463,AHT,closed,Amchitka Army Airfield,215.0,,US,US-AK,Amchitka Island,PAHT,AHT,,"51.3777777778, 179.259166667"
10464,AHY,small_airport,Ambatolhy Airport,340.0,AF,MG,MG-U,Ambatolahy,,AHY,,"-20.015833333299998, 45.535"
10465,AIE,small_airport,Aiome Airport,350.0,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO,"-5.145699978, 144.7307003"
10466,AIH,small_airport,Aiambak Airport,90.0,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB,"-7.342777777779999, 141.2675"
10467,AIP,small_airport,Ailinglaplap Airok Airport,16.0,OC,MH,MH-ALL,Bigatyelang Island,,AIC,,"7.279422, 168.8257"
10482,AK13,small_airport,Chena Hot Springs Airport,1195.0,,US,US-AK,Chena Hot Springs,AK13,CEX,AK13,"65.0518035889, -146.04699707"
10493,AK26,small_airport,Solomon State Field,25.0,,US,US-AK,Solomon,AK26,SOL,AK26,"64.5605, -164.4457"
10500,AK33,small_airport,Herendeen Bay Airport,20.0,,US,US-AK,Herendeen Bay,AK33,HED,AK33,"55.801399231, -160.899002075"
10516,AK49,small_airport,Taylor Airport,440.0,,US,US-AK,Taylor,AK49,TWE,AK49,"65.6792984009, -164.798995972"
10524,AK56,seaplane_base,Tikchik Lodge Seaplane Base,304.0,,US,US-AK,Tikchik,AK56,KTH,AK56,"59.9631996155, -158.477005005"
10530,AK62,seaplane_base,Naukati Bay Seaplane Base,,,US,US-AK,Tuxekan Island,AK62,NKI,AK62,"55.849602, -133.227994"
10538,AK71,small_airport,Lonely Air Station,17.0,,US,US-AK,Lonely,PALN,LNI,AK71,"70.91069794, -153.2420044"
10542,AK75,small_airport,Candle 2 Airport,15.0,,US,US-AK,Candle,AK75,CDL,AK75,"65.907699585, -161.925994873"
10548,AK81,seaplane_base,Amook Bay Seaplane Base,,,US,US-AK,Amook Bay,AK81,AOS,AK81,"57.4715003967, -153.815002441"
10563,AK96,small_airport,Bartletts Airport,50.0,,US,US-AK,Egegik,AK96,BSZ,AK96,"58.2162017822, -157.352005005"
10564,AK97,small_airport,Boswell Bay Airport,230.0,,US,US-AK,Boswell Bay,AK97,BSW,AK97,"60.4230995178, -146.145996094"
10567,AKM,small_airport,Zakuoma Airport,1370.0,AF,TD,TD-SA,ZaKouma,,AKM,,"10.8902777778, 19.8172222222"
10643,AL73,small_airport,Sharpe Field,253.0,,US,US-AL,Tuskegee,AL73,TGE,AL73,"32.4919013977, -85.7755966187"
10670,ALZ,seaplane_base,Alitak Seaplane Base,,,US,US-AK,Lazy Bay,,ALZ,ALZ,"56.8995018005, -154.248001099"
10678,AMC,small_airport,Mar de Cortés International Airport,71.0,,MX,MX-SON,Puerto Peñasco,MMPE,PPE,83550,"31.351987, -113.305177"
10679,AME,small_airport,Alto Molocue Airport,1950.0,AF,MZ,MZ-Q,Alto Molocue,,AME,,"-15.6102777778, 37.6813888889"
10680,AMF,small_airport,Ama Airport,145.0,OC,PG,PG-ESW,,AYAA,AMF,AMA,"-4.10111111111, 141.67"
10681,AMU,small_airport,Amanab Airport,1307.0,OC,PG,PG-SAN,Amanab,AYAM,AMU,ANA,"-3.586, 141.214333333"
10682,AMY,small_airport,Ambatomainty Airport,1025.0,AF,MG,MG-M,,,AMY,,"-17.6866666667, 45.623888888900005"
10685,ANH,closed,Anuha Island Resort Airport,22.0,OC,SB,SB-CE,Anhua Island,,ANH,,"-9.00138888889, 160.225"
10686,ANYN,medium_airport,Nauru International Airport,22.0,OC,NR,NR-14,Yaren District,ANYN,INU,,"-0.547458, 166.919006"
10687,ANZ,small_airport,Angus Downs Airport,1724.0,OC,AU,AU-NT,Angus Downs Station,,ANZ,,"-25.0325, 132.2748"
10692,AO-0005,small_airport,Andulo Airport,,AF,AO,AO-BIE,,,ANL,,"-11.472299575800001, 16.710899353"
10740,AO-CNZ,small_airport,Cangamba Airport,3894.0,AF,AO,AO-MOX,Cangamba,,CNZ,,"-13.7106, 19.861099"
10741,AO-DRC,small_airport,Dirico Airport,3504.0,AF,AO,AO-CCU,Dirico,,DRC,,"-17.981924057006836, 20.7680606842041"
10742,AO-GGC,small_airport,Lumbala Airport,3510.0,AF,AO,AO-MOX,Lumbala,,GGC,,"-12.6398773193, 22.5868206024"
10743,AO-JMB,small_airport,Jamba Airport,4912.0,AF,AO,AO-HUA,Jamba,,JMB,,"-14.698192596435547, 16.070148468017578"
10744,AO-KNP,small_airport,Capanda Airport,3366.0,AF,AO,AO-MAL,Capanda,FNCP,KNP,,"-9.76937007904, 15.4553194046"
10745,AO-NDF,small_airport,Ndalatandos Airport,2684.0,AF,AO,AO-CNO,Ndalatandos,,NDF,,"-9.275188446044922, 14.977242469787598"
10746,AOA,closed,Aroa Airport,20.0,OC,PG,PG-CPM,Agevairu,,AOA,,"-9.0254, 146.8"
10747,AOB,small_airport,Annanberg Airport,130.0,OC,PG,PG-MPM,,,AOB,ANB,"-4.90416666667, 144.635833333"
10748,AOD,small_airport,Abou-Deïa Airport,1592.0,AF,TD,TD-SA,Abou-Deïa,,AOD,,"11.4773, 19.2874"
10749,APP,small_airport,Asapa Airport,1930.0,OC,PG,PG-NPP,,,APP,APA,"-8.97916666667, 148.103611111"
10750,APR,small_airport,April River Airport,220.0,OC,PG,PG-ESW,April River,AYPE,APR,APR,"-4.67666666667, 142.540138889"
10755,AQY,small_airport,Girdwood Airport,150.0,,US,US-AK,Girdwood,,AQY,AQY,"60.966099, -149.126007"
10760,AR-0005,small_airport,Bragado Airport,196.0,SA,AR,AR-B,Bragado,,QRF,BRA,"-35.144, -60.4803"
10761,AR-0007,small_airport,Caleta Olivia Airport,37.0,SA,AR,AR-Z,Caleta Olivia,,CVI,CAO,"-46.4318008423, -67.5186004639"
10763,AR-0009,small_airport,Charata Airport,318.0,SA,AR,AR-H,Charata,,CNT,CHA,"-27.2164, -61.2103"
10764,AR-0010,small_airport,General Villegas Airport,383.0,SA,AR,AR-B,General Villegas,,VGS,GAS,"-35, -63"
10765,AR-0011,small_airport,Los Menucos Airport,2571.0,SA,AR,AR-R,Los Menucos,,LMD,MCO,"-40.817699, -68.074699"
10769,AR-0015,closed,Saenz Peña Airport,20.0,SA,AR,AR-H,Presidencia Roque Sáenz Peña,,SZQ,,"-26.815799713134766, -60.448299407958984"
10771,AR-0017,small_airport,Valcheta Airport,629.0,SA,AR,AR-R,Valcheta,,VCF,VAL,"-40.7000007629, -66.1500015259"
11100,AR-0346,small_airport,Sunchales Aeroclub Airport,311.0,SA,AR,AR-S,Sunchales,SAFS,NCJ,SCA,"-30.9575, -61.5283"
11144,AR-0390,small_airport,Carmen De Patagones Airport,131.0,SA,AR,AR-B,Carmen de Patagones,,CPG,PAT,"-40.7781, -62.9803"
11216,AR-0462,small_airport,Termal Airport,308.0,SA,AR,AR-H,Presidencia Roque Sáenz Peña,SARS,PRQ,PSP,"-26.753611, -60.492222"
11248,AR-0494,small_airport,Colonia Sarmiento Airport,877.0,SA,AR,AR-U,Sarmiento,,OLN,STO,"-45.582371, -68.999841"
11488,ARP,small_airport,Aragip Airport,1750.0,OC,PG,PG-MBA,,,ARP,AGP,"-9.88333333333, 149.483333333"
11489,ARX,closed,Asbury Park Neptune Air Terminal,95.0,,US,US-NJ,Asbury Park,,ARX,,"40.2193055556, -74.0908333333"
11490,AS-TAV,small_airport,Tau Airport,185.0,OC,AS,AS-U-A,Tau Village,,TAV,HI36,"-14.2292003632, -169.511001587"
11492,ASZ,small_airport,Asirim Airport,1050.0,OC,PG,PG-WBK,,,ASZ,ASM,"-6.009722222220001, 150.368611111"
11502,ATN,small_airport,Namatanai Airport,150.0,OC,PG,PG-NIK,Namatanai,AYNX,ATN,NTI,"-3.6695, 152.438"
11503,ATP,small_airport,Aitape Airport,10.0,OC,PG,PG-SAN,Aitape,AYAI,ATP,APE,"-3.1436111111100002, 142.346805556"
11584,AU-0081,small_airport,Lady Elliot Island Airstrip,20.0,OC,AU,AU-QLD,Lady Elliot Island,,LYT,,"-24.1129, 152.7156"
11619,AU-AGW,small_airport,Agnew Airport,,OC,AU,AU-QLD,Agnew,,AGW,,"-12.145600318908691, 142.1490020751953"
11620,AU-AYD,small_airport,Alroy Downs Airport,,OC,AU,AU-NT,Alroy Downs,,AYD,,"-19.290800094604492, 136.07899475097656"
11621,AU-BYX,small_airport,Baniyala Airport,20.0,OC,AU,AU-NT,Baniyala,,BYX,,"-13.19810009, 136.227005005"
11622,AU-COB,small_airport,Coolibah Airport,,OC,AU,AU-NT,Coolibah,,COB,,"-15.548299789428711, 130.96200561523438"
11623,AU-CRJ,small_airport,Coorabie Airport,,OC,AU,AU-SA,Coorabie,,CRJ,,"-31.894399642944336, 132.29600524902344"
11624,AU-CRY,small_airport,Carlton Hill Airport,,OC,AU,AU-WA,Carlton Hill,,CRY,,"-15.501899719238281, 128.53399658203125"
11625,AU-CSD,small_airport,Cresswell Downs Airport,,OC,AU,AU-NT,Cresswell Downs,,CSD,,"-17.947999954223633, 135.91600036621094"
11626,AU-DYM,small_airport,Diamantina Lakes Airport,,OC,AU,AU-QLD,Diamantina Lakes,,DYM,,"-23.761699676513672, 141.14500427246094"
11627,AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,,OC,AU,AU-QLD,Hayman Island,,HIS,,"-20.059999465942383, 148.88099670410156"
11628,AU-HLV,small_airport,Helenvale Airport,,OC,AU,AU-QLD,Helenvale,,HLV,,"-15.685799598693848, 145.21499633789062"
11629,AU-KBD,small_airport,Kimberley Downs Airport,,OC,AU,AU-WA,Kimberley Downs,,KBD,,"-17.39780044555664, 124.3550033569336"
11630,AU-KGR,small_airport,Kulgera Airport,,OC,AU,AU-NT,Kulgera,,KGR,,"-25.84280014038086, 133.29200744628906"
11631,AU-MWY,small_airport,Miranda Downs Airport,,OC,AU,AU-QLD,Miranda Downs,YMIR,MWY,,"-17.328899, 141.886002"
11632,AU-MYO,small_airport,Camballin Airport,,OC,AU,AU-WA,Myroodah,,MYO,,"-18.12470054626465, 124.27200317382812"
11633,AU-OKB,small_airport,Orchid Beach Airport,71.0,OC,AU,AU-QLD,Orchid Beach,YORC,OKB,YORC,"-24.959400177002, 153.31500244141"
11634,AU-PEP,small_airport,Peppimenarti Airport,83.0,OC,AU,AU-NT,Peppimenarti,,PEP,YPEP,"-14.144200325, 130.091003418"
11635,AU-RDA,small_airport,Rockhampton Downs Airport,,OC,AU,AU-NT,Rockhampton Downs,,RDA,,"-18.95330047607422, 135.2010040283203"
11636,AU-SSK,small_airport,Sturt Creek Airport,,OC,AU,AU-WA,Sturt Creek,,SSK,,"-19.166400909423828, 128.1739959716797"
11637,AU-SWB,small_airport,Shaw River Airport,,OC,AU,AU-WA,Shaw River,,SWB,,"-21.510299682617188, 119.36199951171875"
11638,AU-TPR,small_airport,Tom Price Airport,2300.0,OC,AU,AU-WA,Tom Price,YTMP,TPR,,"-22.746000289900003, 117.869003296"
11639,AU-TWP,small_airport,Torwood Airport,,OC,AU,AU-QLD,Torwood,,TWP,,"-17.363300323486328, 143.75"
11640,AU-ZVG,small_airport,Springvale Airport,,OC,AU,AU-WA,Springvale,,ZVG,,"-17.78689956665039, 127.66999816894531"
11641,AUI,small_airport,Aua Island Airport,4.0,OC,PG,PG-MRL,Aua Island,AYND,AUI,AUA,"-1.46055555556, 143.064722222"
11642,AUJ,small_airport,Ambunti Airport,50.0,OC,PG,PG-ESW,Ambunti,AYAT,AUJ,AMI,"-4.21566666667, 142.823166667"
11643,AUP,small_airport,Agaun Airport,3200.0,OC,PG,PG-MBA,,AYAG,AUP,AUN,"-9.930833, 149.385667"
11644,AUS,closed,Austin Robert Mueller Municipal,,,US,US-TX,,KAUS,AUS,,"30.2987223546, -97.6997852325"
11645,AUV,small_airport,Aumo Airport,450.0,OC,PG,PG-WBK,Aumo,AYUM,AUV,AUMO,"-5.731111111110001, 148.445277778"
11646,AWE,small_airport,Alowe Airport,600.0,AF,GA,GA-3,Wonga Wongué Presidential Reserve,FOGW,AWE,,"-0.545, 9.444"
11647,AWR,closed,Awar Airport,35.0,OC,PG,PG-MPM,Awar,,AWR,,"-4.124, 144.853"
11648,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,4560.0,AS,CN,CN-15,Bayanhot,ZBAL,AXF,,"38.74831, 105.58858"
11649,AYAQ,small_airport,Kompiam Airport,5100.0,OC,PG,PG-EPW,,AYAQ,KPM,KOM,"-5.38166666667, 143.924722222"
11652,AYBK,medium_airport,Buka Airport,11.0,OC,PG,PG-NSB,Buka Island,AYBK,BUA,,"-5.4223198890686035, 154.67300415039062"
11653,AYBR,small_airport,Biaru Airport,4900.0,OC,PG,PG-MPL,Biaru,AYBR,BRP,BRU,"-7.6693, 146.7594"
11659,AYCH,medium_airport,Chimbu Airport,4974.0,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,,"-6.024290084838867, 144.9709930419922"
11661,AYDK,small_airport,Munduku Airport,100.0,OC,PG,PG-ESW,Munduku,AYDK,MDM,MUN,"-4.6204, 143.4516"
11662,AYDL,small_airport,Kondobol Airport,132.0,OC,PG,PG-WPD,Kondobol,AYDL,KPF,KDB,"-8.5336, 142.5049"
11663,AYDN,small_airport,Dinangat Airport,5309.0,OC,PG,PG-MPL,Dinangat,AYDN,DNU,DIN,"-6.1546, 146.6772"
11664,AYDO,small_airport,Doini Airport,31.0,OC,PG,PG-MBA,Castori Islets,AYDO,DOI,DOI,"-10.7009, 150.7218"
11668,AYDU,medium_airport,Daru Airport,20.0,OC,PG,PG-WPD,Daru,AYDU,DAU,,"-9.08675956726, 143.207992554"
